hour,fluid,used_coolprop,T_evap_sat_K,T_cond_sat_K,P_evap_kPa,P_cond_kPa,h1,h2s,h2,h3
118,R134a,0,6779503937621997480515593833756651159552.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
119,R134a,1,-13693927883140071594098598873077425111040.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
120,R134a,0,27842171017370654836976985781932929318912.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
121,R134a,1,-57106578354419614652178772459567278194688.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
122,R134a,0,118311024233940407389830178661675541987328.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
123,R134a,1,-247599876628736361061569808690299141095424.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
124,R134a,0,522595420526521525492151831966989122797568.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
125,R134a,1,-1108748688468854928625122675053801685123072.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
126,R134a,0,2328442654382120325585731839104280166400000.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
127,R134a,1,-4911516977406861351693811616646963983810560.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
128,R134a,0,10293396983103029353770877275019661939834880.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
129,R134a,1,-20643815068601415014954447618154421974728704.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
130,R134a,0,39161216107745239385273325010994893416300544.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
131,R134a,1,-67300921882265696129188641944567372228591616.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
132,R134a,0,93065847321492119147804318759292453177524224.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
133,R134a,1,-50413815452044840058653776296847974640648192.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
134,R134a,1,-306504021119215551601568580569533050542620672.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
135,R134a,0,1764971259806326078956075074231159864204197888.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
136,R134a,1,-6643626254814917170908088681314627480637669376.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
137,R134a,0,21424751000913352526693411582270242612928577536.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
138,R134a,1,-63518091690659194068109760259783939228056944640.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
139,R134a,0,176011649266977066916517364644183086499803168768.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
140,R134a,1,-475337113276769691629605853275922953580123783168.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
141,R134a,0,1265217249453624541655024840365173617567161384960.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
142,R134a,1,-3255736280708009976304068978274448734515514834944.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
143,R134a,0,8223448857990696346125124209773211229356535316480.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
144,R134a,1,-20470643972315239997522617635618868738720008241152.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
145,R134a,0,50300599967833017015612009715660361293227154735104.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
146,R134a,1,-122137202741600499310002629432045571917596034334720.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
147,R134a,0,293118589290022634919743085429536226728677444943872.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
148,R134a,1,-695107948299264119377721169405241606212228172742656.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
149,R134a,0,1626859210803648144380517645559186709395389240311808.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
150,R134a,1,-3711040812987913471611237079644612403584520066957312.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
151,R134a,0,8416522709676377392029092944847373763185328313597952.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
152,R134a,1,-18910122311705003749209078836446113495511650634039296.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
153,R134a,0,40883604544059960988060573430603132526553728787939328.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
154,R134a,1,-85448546938973421929252092339025307342526437652430848.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
155,R134a,0,171010689151403893673904807695818258551243197619634176.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
156,R134a,1,-321924036906358661729879660278255389068653210451836928.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
157,R134a,0,551096816885335494631560202052098812018291080597340160.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
158,R134a,1,-788921806857237768481974474088043217161152654655619072.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
159,R134a,0,656497478566217119088684940631548355815881262980136960.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
160,R134a,0,1183151505994394355520646965676832799558045598362894336.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
161,R134a,1,-8764857034296002147153229313010966812095942344403058688.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
162,R134a,0,33298718047708842256873377760822053964934775788972015616.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
163,R134a,1,-102846788873900950246416078596050501237255505870468415488.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
164,R134a,0,292547908370999569895120708020362665953117279913594847232.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
165,R134a,1,-796838665092512963442098094116315639689405190504909373440.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
166,R134a,0,2062986214604516978085853514546796001233173377559857987584.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
167,R134a,1,-5191065791099932278649130725092614197974768828377706004480.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
168,R134a,0,12791399846880672029497048689760095882836231206072196530176.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
169,R134a,1,-30997935216269004169384414563741923337291543717746558631936.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
170,R134a,0,74087479859289720737169596820176478490700203810728309686272.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
171,R134a,1,-174914925473821263495476809620324833813863910808490971496448.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
172,R134a,0,408293868740423136922540750657093932311822723597717846622208.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
173,R134a,1,-942192389391105710818327833206378920501940444175991610277888.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
174,R134a,0,2125402028592732860183278955529519606581055800241171642449920.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
175,R134a,1,-4786791843188267631166108389500750903391715548789252407951360.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
176,R134a,0,10743911125376378245991122148391656778580170664971957679685632.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
177,R134a,1,-23404435540100162274381418500519005419880940463026307896180736.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
178,R134a,0,49908601573817891677138833984684310964267577931781946390609920.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
179,R134a,1,-103804772326855756765381062809646496440617923806038609237114880.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
180,R134a,0,209254735055758703723425605649604859647814221643612829025042432.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
181,R134a,1,-405358503143557047626138245178584032211433958095316557116735488.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
182,R134a,0,743687787873125495027520014874589645331322571914180948565950464.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
183,R134a,1,-1257699989144574234989850744399913651445321143962578528094912512.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
184,R134a,0,1838352169204625387409736765410778623945099436063074993819353088.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
185,R134a,1,-1838654726970875073438495268735863105651956481533157173176041472.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
186,R134a,1,-1063407530673202645206420631666149260288175770275564428841713664.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
187,R134a,0,13663103684984343567592870388762255633628837737029110634893017088.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
188,R134a,1,-55524346457263379724076645647643543492000487768499456067590160384.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
189,R134a,0,181701670706962907170514297608597927216494507315758128733311991808.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
190,R134a,1,-529252129181668130442668644367365412892748165265611012645098356736.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
191,R134a,0,1451746462102888135220172968732454653763088504456929398725546082304.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
192,R134a,1,-3834723258561192695262280438321113685654084288363436912722613108736.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
193,R134a,0,9869519417584274105519466656670394194214270455709230822058641850368.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
194,R134a,1,-24922252390908566297832724265040756671181373557508233469376000425984.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
195,R134a,0,62027232327284314988309184558009457277788297931247934269348294688768.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
196,R134a,1,-152555888431352694451554565039846092123405628189737340816611415687168.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
197,R134a,0,371348615087645407623105425759397019238922588790254558926995212730368.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
198,R134a,1,-884910933751359694017348774879092546766134185212516447981633001226240.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
199,R134a,0,2112328328219035707381397898189476584378416200558005666158503719337984.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
200,R134a,1,-5053160493884125500599909026996695735670497941850593909410376747843584.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
201,R134a,0,11812861827703293853736199719059050060192023645143736096632915468746752.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
202,R134a,1,-27271279492171747968843865975218138685822844493786340424875382285533184.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
203,R134a,0,62154411025970245527140392800747399287784115985624271174352635995095040.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
204,R134a,1,-139616983286974703833793467816658586331779796896751921700645913740967936.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
205,R134a,0,308674818211215299486539678447312672977172871938006165909130208610353152.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
206,R134a,1,-670848566996979975883945453423367544045135875736071258328722000519888896.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
207,R134a,0,1431532743516593259495764899685484053951930434970943654915451265832976384.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
208,R134a,1,-2996143410862844895159435559687226822658585605105396329978201693570990080.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
209,R134a,0,6139657318291028381234008912574438263510253847920353074276324719063990272.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
210,R134a,1,-12280713744392217933379101098099952034131010596385874195762154031363915776.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
211,R134a,0,23655442742561422587388579220627682828825567152586267831401747849580380160.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
212,R134a,1,-44524129210083464985590752359774254204747198619175083334955092574633721856.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
213,R134a,0,80456012483972594815236496526145763884613799952289801936238277867039883264.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
214,R134a,1,-132290065672162966354690058980481590407628272427251662943025773776115597312.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
215,R134a,0,184988938102860402963355154026219166039725024290737904943017839219420692480.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
216,R134a,1,-156959975215812149008061247975149724321830197759957598517781208865378926592.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
217,R134a,1,-245874197777493405803704262494484101268833188130753775914704058913591918592.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
218,R134a,0,1943000830771569861856701918861746673670843598430652587842836129538964979712.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
219,R134a,1,-7611505512240140552245838819183091644026950111214088071650608293886866489344.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
220,R134a,0,24701553873324862436845655233626906542372423609336011318123797814112648429568.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
