step,T_source_out_C,T_return_C,COP,Q_out_kW,P_el_kW,Q_geo_kW,model,T_tank_C,HP_on,Q_space_req_kW,Q_dhw_req_kW,Q_space_served_kW,Q_dhw_served_kW,Q_unmet_kW,flow_kgps,dP_kPa,P_pump_kW
67,16483870931677901488128.0000,16483870931677901488128.0000,8.0000,105.5389,13.1924,-133227088786568532459520.0000,FB,30.0000,1,128.5200,3.3000,102.0389,3.3000,26.4811,11.0304,1088.1935,17.1990
68,-43954708690550017490944.0000,-43954708690550017490944.0000,0.0000,0.0000,0.0000,355984949551686265864192.0000,CP,30.0000,1,131.6400,3.3000,0.0000,0.0000,134.9400,11.1968,1117.9968,17.9366
69,109029117343275006558208.0000,109029117343275006558208.0000,8.0000,107.1922,13.3990,-885060190068162105966592.0000,FB,30.0000,1,134.7600,0.3000,106.6922,0.3000,28.0678,11.2032,1119.1504,17.9654
70,-250025926197099689410560.0000,-250025926197099689410560.0000,0.0000,0.0000,0.0000,2029638686927701908914176.0000,CP,30.0000,1,137.6400,0.3000,0.0000,0.0000,137.9400,11.3568,1146.9976,18.6649
71,538984777681409461452800.0000,538984777681409461452800.0000,8.0000,109.9478,13.7435,-4378712144674082332344320.0000,FB,30.0000,1,140.1600,0.3000,109.4478,0.3000,30.7122,11.4912,1171.6181,19.2912
72,-1088495571290756516675584.0000,-1088495571290756516675584.0000,0.0000,0.0000,0.0000,8848762112366950991527936.0000,CP,30.0000,1,142.0800,0.3000,0.0000,0.0000,142.3800,11.5936,1190.5355,19.7773
73,2020874072163111688732672.0000,2020874072163111688732672.0000,8.0000,111.5399,13.9425,-16443006738377197995687936.0000,FB,30.0000,1,143.2800,0.3000,111.0399,0.3000,32.2401,11.6576,1202.4286,20.0852
74,-3285124594148047453159424.0000,-3285124594148047453159424.0000,0.0000,0.0000,0.0000,26761519807796746815275008.0000,CP,30.0000,1,143.6800,0.3000,0.0000,0.0000,143.9800,11.6789,1206.4048,20.1885
75,3986885129165447844855808.0000,3986885129165447844855808.0000,8.0000,111.5399,13.9425,-32549631523345243326906368.0000,FB,30.0000,1,143.2800,0.3000,111.0399,0.3000,32.2401,11.6576,1202.4286,20.0852
76,-356721022600759285383168.0000,-356721022600759285383168.0000,0.0000,0.0000,0.0000,3116883084077603305291776.0000,CP,30.0000,1,142.1200,0.3000,0.0000,0.0000,142.4200,11.5957,1190.9310,19.7875
